Mar. 26 2024	
 13:57:13	
HF loop TM8	
Power(dBm) -6.8	
201 Pts	
AttnR(dB) 20, AttnB(dB) 20	
*	
*	
LPC2E stimulus loop 216nT/V or 46.689dBnT/V	
*	
*	
Hz	dB	DEG
28743321.597	25.86171	-61.4889
30137983.045	25.09537	-56.59721
31532644.494	24.64926	-49.67774
32927305.942	23.58552	-44.74892
34321967.39	22.67106	-36.79439
35716628.839	22.18984	-28.38494
37111290.287	21.01375	-21.51128
38725845.12	20.03794	-10.85027
40604870.933	18.9881	1.802104
42483896.747	17.9649	15.00661
44362922.56	16.91555	29.53551
46241948.373	17.52471	42.53887
48120974.187	15.73383	53.51209
50000000	14.63532	66.39798

