f,noise
100000,-70.1441
162375,-67.6843
224750,-74.6759
287125,-81.1634
349500,-84.0799
411875,-84.7999
474250,-85.723
536625,-86.1125
599000,-85.7131
661375,-88.2945
723750,-81.7862
786125,-87.7838
848500,-88.2455
910875,-88.9363
973250,-86.9668
1.03562e+06,-86.1835
1.098e+06,-85.6039
1.16038e+06,-87.8719
1.22275e+06,-88.3386
1.28512e+06,-74.9753
1.3475e+06,-89.3012
1.40988e+06,-79.5117
1.47225e+06,-86.5637
1.53462e+06,-83.0416
1.597e+06,-82.7086
1.65938e+06,-86.4076
1.72175e+06,-86.7203
1.78412e+06,-87.6439
1.8465e+06,-87.7776
1.90888e+06,-84.2704
1.97125e+06,-82.6067
2.03362e+06,-85.4944
2.096e+06,-84.5446
2.15838e+06,-82.9092
2.22075e+06,-83.0124
2.28312e+06,-81.9834
2.3455e+06,-84.239
2.40788e+06,-85.0547
2.47025e+06,-85.3218
2.53262e+06,-82.7049
2.595e+06,-84.2984
2.65738e+06,-81.7768
2.71975e+06,-84.4809
2.78212e+06,-85.3548
2.8445e+06,-83.4917
2.90688e+06,-85.1525
2.96925e+06,-87.2925
3.03162e+06,-84.0591
3.094e+06,-86.326
3.15638e+06,-85.8803
3.21875e+06,-85.1515
3.28112e+06,-83.3001
3.3435e+06,-85.1845
3.40588e+06,-88.0469
3.46825e+06,-85.4901
3.53062e+06,-87.8174
3.593e+06,-85.0511
3.65538e+06,-84.5709
3.71775e+06,-87.8622
3.78012e+06,-84.8232
3.8425e+06,-87.8618
3.90488e+06,-86.2855
3.96725e+06,-87.2895
4.02962e+06,-86.0237
4.092e+06,-88.4246
4.15438e+06,-88.0913
4.21675e+06,-87.9521
4.27912e+06,-86.8729
4.3415e+06,-87.2036
4.40388e+06,-83.487
4.46625e+06,-85.6619
4.52862e+06,-83.216
4.591e+06,-77.6044
4.65338e+06,-76.0719
4.71575e+06,-72.3646
4.77812e+06,-71.6463
4.8405e+06,-76.6023
4.90288e+06,-77.4512
4.96525e+06,-81.9522
5.02762e+06,-79.2091
5.09e+06,-73.8514
5.15238e+06,-74.8901
5.21475e+06,-73.3063
5.27712e+06,-78.5766
5.3395e+06,-83.267
5.40188e+06,-83.9934
5.46425e+06,-83.429
5.52662e+06,-83.8485
5.589e+06,-83.7062
5.65138e+06,-83.6778
5.71375e+06,-82.8217
5.77612e+06,-82.5458
5.8385e+06,-84.2886
5.90088e+06,-84.5021
5.96325e+06,-85.8718
6.02562e+06,-85.7281
6.088e+06,-86.6668
6.15038e+06,-85.1427
6.21275e+06,-84.1974
6.27512e+06,-84.9775
6.3375e+06,-86.5088
6.39988e+06,-85.1753
6.46225e+06,-84.8473
6.52462e+06,-87.6292
6.587e+06,-82.743
6.64938e+06,-79.4082
6.71175e+06,-79.477
6.77412e+06,-81.0709
6.8365e+06,-78.9879
6.89888e+06,-79.7405
