f, gain
1.48205e+07,-17.076
1.48829e+07,-17.0473
1.49452e+07,-17.0541
1.50076e+07,-17.0602
1.507e+07,-17.0114
1.51324e+07,-17.0288
1.51948e+07,-16.9849
1.52571e+07,-17.0008
1.53195e+07,-17.0088
1.53819e+07,-16.9685
1.54442e+07,-16.9667
1.55066e+07,-16.9362
1.5569e+07,-16.9417
1.56314e+07,-16.9286
1.56938e+07,-16.8955
1.57561e+07,-16.9058
1.58185e+07,-16.8969
1.58809e+07,-16.893
1.59432e+07,-16.8844
1.60056e+07,-16.873
1.6068e+07,-16.8418
1.61304e+07,-16.8184
1.61928e+07,-16.841
1.62551e+07,-16.8226
1.63175e+07,-16.8143
1.63799e+07,-16.7863
1.64422e+07,-16.7415
1.65046e+07,-16.7166
1.6567e+07,-16.7499
1.66294e+07,-16.6941
1.66918e+07,-16.7147
1.67541e+07,-16.7161
1.68165e+07,-16.689
1.68789e+07,-16.6561
1.69412e+07,-16.6542
1.70036e+07,-16.6526
1.7066e+07,-16.6343
1.71284e+07,-16.6249
1.71908e+07,-16.5951
1.72531e+07,-16.5878
1.73155e+07,-16.5905
1.73779e+07,-16.525
1.74402e+07,-16.5525
1.75026e+07,-16.534
1.7565e+07,-16.5182
1.76274e+07,-16.5162
1.76898e+07,-16.493
1.77521e+07,-16.4695
1.78145e+07,-16.4673
1.78769e+07,-16.4529
1.79392e+07,-16.4454
1.80016e+07,-16.4086
1.8064e+07,-16.3809
1.81264e+07,-16.3988
1.81888e+07,-16.3686
1.82511e+07,-16.3485
1.83135e+07,-16.3421
1.83759e+07,-16.3217
1.84382e+07,-16.2798
1.85006e+07,-16.2886
1.8563e+07,-16.26
1.86254e+07,-16.2715
1.86878e+07,-16.2262
1.87501e+07,-16.2102
1.88125e+07,-16.2208
1.88749e+07,-16.1953
1.89372e+07,-16.1743
1.89996e+07,-16.1925
1.9062e+07,-16.1545
1.91244e+07,-16.1362
1.91868e+07,-16.1115
1.92491e+07,-16.1328
1.93115e+07,-16.0973
1.93739e+07,-16.0835
1.94362e+07,-16.065
1.94986e+07,-16.0449
1.9561e+07,-16.0408
1.96234e+07,-16.0407
1.96858e+07,-16.0139
1.97481e+07,-16.0039
1.98105e+07,-15.9802
1.98729e+07,-15.983
1.99352e+07,-15.897
1.99976e+07,-15.9347
2.006e+07,-15.9089
2.01224e+07,-15.8922
2.01848e+07,-15.8678
2.02471e+07,-15.8269
2.03095e+07,-15.8069
2.03719e+07,-15.8039
2.04342e+07,-15.7749
2.04966e+07,-15.7358
2.0559e+07,-15.724
2.06214e+07,-15.7064
2.06838e+07,-15.6723
2.07461e+07,-15.6741
2.08085e+07,-15.6332
2.08709e+07,-15.5959
2.09332e+07,-15.5877
2.09956e+07,-15.5627
2.1058e+07,-15.5231
2.11204e+07,-15.4975
2.11828e+07,-15.4887
2.12451e+07,-15.4471
2.13075e+07,-15.4218
2.13699e+07,-15.3996
2.14322e+07,-15.3771
2.14946e+07,-15.3675
2.1557e+07,-15.326
2.16194e+07,-15.2973
2.16818e+07,-15.258
2.17441e+07,-15.2425
2.18065e+07,-15.2348
2.18689e+07,-15.1946
2.19312e+07,-15.1601
2.19936e+07,-15.1417
2.2056e+07,-15.1402
2.21184e+07,-15.1026
2.21808e+07,-15.0796
2.22431e+07,-15.0884
2.23055e+07,-15.0404
2.23679e+07,-15.0218
2.24302e+07,-14.9979
2.24926e+07,-14.9579
2.2555e+07,-14.9429
2.26174e+07,-14.9265
2.26798e+07,-14.8795
2.27421e+07,-14.8633
2.28045e+07,-14.8274
2.28669e+07,-14.821
2.29292e+07,-14.7891
2.29916e+07,-14.7604
2.3054e+07,-14.7258
2.31164e+07,-14.7083
2.31788e+07,-14.6646
2.32411e+07,-14.6383
2.33035e+07,-14.6093
2.33659e+07,-14.5657
2.34282e+07,-14.5196
2.34906e+07,-14.5098
2.3553e+07,-14.4605
2.36154e+07,-14.4529
2.36778e+07,-14.4138
2.37401e+07,-14.3886
2.38025e+07,-14.323
2.38649e+07,-14.3006
2.39272e+07,-14.2627
2.39896e+07,-14.1123
2.4052e+07,-14.1413
2.41144e+07,-14.1496
2.41768e+07,-14.0761
2.42391e+07,-14.055
2.43015e+07,-14.0028
2.43639e+07,-13.9771
2.44262e+07,-13.9395
2.44886e+07,-13.8827
2.4551e+07,-13.8511
2.46134e+07,-13.8027
2.46758e+07,-13.774
2.47381e+07,-13.7259
2.48005e+07,-13.6675
2.48629e+07,-13.6337
2.49252e+07,-13.582
2.49876e+07,-13.7576
2.505e+07,-13.4982
2.51124e+07,-13.4568
2.51748e+07,-13.4278
2.52371e+07,-13.385
2.52995e+07,-13.3344
2.53619e+07,-13.2828
2.54242e+07,-13.2281
2.54866e+07,-13.1645
2.5549e+07,-13.1272
2.56114e+07,-13.1007
2.56738e+07,-13.0454
2.57361e+07,-12.9844
2.57985e+07,-12.9345
2.58609e+07,-12.8977
2.59232e+07,-12.8568
2.59856e+07,-12.7958
2.6048e+07,-12.7654
2.61104e+07,-12.7033
2.61728e+07,-12.6393
2.62351e+07,-12.5851
2.62975e+07,-12.5448
2.63599e+07,-12.4874
2.64222e+07,-12.4366
2.64846e+07,-12.392
2.6547e+07,-12.3331
2.66094e+07,-12.298
2.66718e+07,-12.241
2.67341e+07,-12.1809
2.67965e+07,-12.1225
2.68589e+07,-12.0636
2.69212e+07,-12.0126
