f,noise
1.48205e+07,-79.0754
1.48829e+07,-78.8777
1.49452e+07,-80.0509
1.50076e+07,-81.8639
1.507e+07,-79.0276
1.51324e+07,-80.0692
1.51948e+07,-78.6215
1.52571e+07,-78.896
1.53195e+07,-78.4288
1.53819e+07,-78.9929
1.54442e+07,-78.6749
1.55066e+07,-78.4058
1.5569e+07,-79.4094
1.56314e+07,-79.6378
1.56938e+07,-80.3947
1.57561e+07,-82.4304
1.58185e+07,-81.7007
1.58809e+07,-80.3664
1.59432e+07,-80.9029
1.60056e+07,-81.4033
1.6068e+07,-82.374
1.61304e+07,-80.2957
1.61928e+07,-80.9003
1.62551e+07,-80.5918
1.63175e+07,-82.1359
1.63799e+07,-81.2292
1.64422e+07,-80.6331
1.65046e+07,-80.8135
1.6567e+07,-79.5176
1.66294e+07,-81.0882
1.66918e+07,-81.8464
1.67541e+07,-80.7502
1.68165e+07,-81.6415
1.68789e+07,-81.4717
1.69412e+07,-81.6769
1.70036e+07,-78.9001
1.7066e+07,-80.492
1.71284e+07,-81.4214
1.71908e+07,-81.4267
1.72531e+07,-79.6017
1.73155e+07,-79.7421
1.73779e+07,-82.0479
1.74402e+07,-82.3003
1.75026e+07,-81.4294
1.7565e+07,-79.7248
1.76274e+07,-81.8868
1.76898e+07,-78.4
1.77521e+07,-77.6083
1.78145e+07,-80.8277
1.78769e+07,-81.7595
1.79392e+07,-81.7899
1.80016e+07,-79.1932
1.8064e+07,-79.4166
1.81264e+07,-79.9724
1.81888e+07,-78.3655
1.82511e+07,-79.7079
1.83135e+07,-79.8952
1.83759e+07,-79.8945
1.84382e+07,-81.2428
1.85006e+07,-81.184
1.8563e+07,-79.8776
1.86254e+07,-78.0644
1.86878e+07,-82.8098
1.87501e+07,-79.62
1.88125e+07,-82.4792
1.88749e+07,-80.2673
1.89372e+07,-78.1099
1.89996e+07,-81.1325
1.9062e+07,-80.0794
1.91244e+07,-80.9769
1.91868e+07,-78.3635
1.92491e+07,-78.3461
1.93115e+07,-79.3283
1.93739e+07,-79.5701
1.94362e+07,-82.7047
1.94986e+07,-81.6995
1.9561e+07,-79.0671
1.96234e+07,-78.6663
1.96858e+07,-76.1908
1.97481e+07,-79.4894
1.98105e+07,-81.1878
1.98729e+07,-77.4417
1.99352e+07,-80.9798
1.99976e+07,-78.1561
2.006e+07,-79.7783
2.01224e+07,-76.9628
2.01848e+07,-81.2789
2.02471e+07,-79.3722
2.03095e+07,-78.1429
2.03719e+07,-78.258
2.04342e+07,-80.826
2.04966e+07,-81.0976
2.0559e+07,-79.029
2.06214e+07,-78.3196
2.06838e+07,-78.3068
2.07461e+07,-77.8554
2.08085e+07,-77.5211
2.08709e+07,-77.9425
2.09332e+07,-77.5283
2.09956e+07,-79.271
2.1058e+07,-77.6623
2.11204e+07,-78.5463
2.11828e+07,-77.9815
2.12451e+07,-80.5432
2.13075e+07,-78.0415
2.13699e+07,-80.1162
2.14322e+07,-79.9077
2.14946e+07,-79.9377
2.1557e+07,-81.5301
2.16194e+07,-80.6396
2.16818e+07,-78.4632
2.17441e+07,-79.8167
2.18065e+07,-79.5092
2.18689e+07,-78.4965
