f, gain
1.48205e+07,-28.3245
1.48829e+07,-28.4188
1.49452e+07,-28.3921
1.50076e+07,-28.4006
1.507e+07,-28.4827
1.51324e+07,-28.5576
1.51948e+07,-28.4427
1.52571e+07,-28.5564
1.53195e+07,-28.416
1.53819e+07,-28.5442
1.54442e+07,-28.5459
1.55066e+07,-28.6317
1.5569e+07,-28.6651
1.56314e+07,-28.7034
1.56938e+07,-28.6917
1.57561e+07,-28.6926
1.58185e+07,-28.7615
1.58809e+07,-28.7649
1.59432e+07,-28.7426
1.60056e+07,-28.8176
1.6068e+07,-28.8989
1.61304e+07,-28.8681
1.61928e+07,-28.9278
1.62551e+07,-28.8872
1.63175e+07,-28.9667
1.63799e+07,-28.9596
1.64422e+07,-29.0489
1.65046e+07,-29.0209
1.6567e+07,-29.0734
1.66294e+07,-29.0836
1.66918e+07,-29.1583
1.67541e+07,-29.0723
1.68165e+07,-29.1402
1.68789e+07,-29.1783
1.69412e+07,-29.287
1.70036e+07,-29.1787
1.7066e+07,-29.2645
1.71284e+07,-29.2877
1.71908e+07,-29.2854
1.72531e+07,-29.3215
1.73155e+07,-29.3294
1.73779e+07,-29.358
1.74402e+07,-29.4535
1.75026e+07,-29.3982
1.7565e+07,-29.4175
1.76274e+07,-29.4978
1.76898e+07,-29.5147
1.77521e+07,-29.5343
1.78145e+07,-29.402
1.78769e+07,-29.4936
1.79392e+07,-29.5826
1.80016e+07,-29.5811
1.8064e+07,-29.5364
1.81264e+07,-29.6883
1.81888e+07,-29.6805
1.82511e+07,-29.6282
1.83135e+07,-29.6829
1.83759e+07,-29.8111
1.84382e+07,-29.7878
1.85006e+07,-29.7285
1.8563e+07,-29.7234
1.86254e+07,-29.9145
1.86878e+07,-29.8772
1.87501e+07,-29.9078
1.88125e+07,-29.92
1.88749e+07,-30.0584
1.89372e+07,-29.9917
1.89996e+07,-30.0749
1.9062e+07,-30.1656
1.91244e+07,-30.1037
1.91868e+07,-30.0674
1.92491e+07,-30.0127
1.93115e+07,-30.1754
1.93739e+07,-30.2548
1.94362e+07,-30.2781
1.94986e+07,-30.2948
1.9561e+07,-30.2376
1.96234e+07,-30.3707
1.96858e+07,-30.289
1.97481e+07,-30.3385
1.98105e+07,-30.3253
1.98729e+07,-30.2804
1.99352e+07,-30.3501
1.99976e+07,-30.3903
2.006e+07,-30.4824
2.01224e+07,-30.2478
2.01848e+07,-30.4735
2.02471e+07,-30.4714
2.03095e+07,-30.5068
2.03719e+07,-30.4821
2.04342e+07,-30.3815
2.04966e+07,-30.5363
2.0559e+07,-30.483
2.06214e+07,-30.4751
2.06838e+07,-30.5976
2.07461e+07,-30.6285
2.08085e+07,-30.6465
2.08709e+07,-30.6104
2.09332e+07,-30.7501
2.09956e+07,-30.7197
