f,loop
1.48205e+07,-67.6189
1.48829e+07,-67.6301
1.49452e+07,-67.6238
1.50076e+07,-67.6847
1.507e+07,-67.644
1.51324e+07,-67.6604
1.51948e+07,-67.5859
1.52571e+07,-67.6038
1.53195e+07,-67.5848
1.53819e+07,-67.6047
1.54442e+07,-67.4847
1.55066e+07,-67.5539
1.5569e+07,-67.5177
1.56314e+07,-67.6033
1.56938e+07,-67.5331
1.57561e+07,-67.5086
1.58185e+07,-67.5625
1.58809e+07,-67.5648
1.59432e+07,-67.5402
1.60056e+07,-67.5281
1.6068e+07,-67.6167
1.61304e+07,-67.5444
1.61928e+07,-67.6091
1.62551e+07,-67.6097
1.63175e+07,-67.5694
1.63799e+07,-67.6251
1.64422e+07,-67.6609
1.65046e+07,-67.6251
1.6567e+07,-67.6215
1.66294e+07,-67.61
1.66918e+07,-67.6145
1.67541e+07,-67.5923
1.68165e+07,-67.6003
1.68789e+07,-67.5537
1.69412e+07,-67.5499
1.70036e+07,-67.5885
1.7066e+07,-67.57
1.71284e+07,-67.5525
1.71908e+07,-67.5583
1.72531e+07,-67.5572
1.73155e+07,-67.5663
1.73779e+07,-67.5444
1.74402e+07,-67.5429
1.75026e+07,-67.5727
1.7565e+07,-67.5428
1.76274e+07,-67.5491
1.76898e+07,-67.5616
1.77521e+07,-67.5744
1.78145e+07,-67.624
1.78769e+07,-67.5569
1.79392e+07,-67.5338
1.80016e+07,-67.5511
1.8064e+07,-67.604
1.81264e+07,-67.5573
1.81888e+07,-67.564
1.82511e+07,-67.5543
1.83135e+07,-67.6167
1.83759e+07,-67.5329
1.84382e+07,-67.5828
1.85006e+07,-67.5483
1.8563e+07,-67.5424
1.86254e+07,-67.5836
1.86878e+07,-67.5337
1.87501e+07,-67.5596
1.88125e+07,-67.5305
1.88749e+07,-67.5475
1.89372e+07,-67.5079
1.89996e+07,-67.5246
1.9062e+07,-67.5176
1.91244e+07,-67.5277
1.91868e+07,-67.5436
1.92491e+07,-67.5904
1.93115e+07,-67.5411
1.93739e+07,-67.5268
1.94362e+07,-67.5289
1.94986e+07,-67.5261
1.9561e+07,-67.4788
1.96234e+07,-67.4867
1.96858e+07,-67.4645
1.97481e+07,-67.5568
1.98105e+07,-67.4953
1.98729e+07,-67.4706
1.99352e+07,-67.4716
1.99976e+07,-67.5032
2.006e+07,-67.4929
2.01224e+07,-67.4437
2.01848e+07,-67.419
2.02471e+07,-67.4493
2.03095e+07,-67.4878
2.03719e+07,-67.4695
2.04342e+07,-67.4595
2.04966e+07,-67.455
2.0559e+07,-67.4565
2.06214e+07,-67.4765
2.06838e+07,-67.4755
2.07461e+07,-67.4612
2.08085e+07,-67.4659
2.08709e+07,-67.4383
2.09332e+07,-67.4055
2.09956e+07,-67.3802
2.1058e+07,-67.4478
2.11204e+07,-67.4398
2.11828e+07,-67.4261
2.12451e+07,-67.4198
2.13075e+07,-67.3657
2.13699e+07,-67.4236
2.14322e+07,-67.3768
2.14946e+07,-67.3768
2.1557e+07,-67.3405
2.16194e+07,-67.3958
2.16818e+07,-67.3735
2.17441e+07,-67.396
2.18065e+07,-67.3936
2.18689e+07,-67.4097
2.19312e+07,-67.3752
2.19936e+07,-67.3498
2.2056e+07,-67.387
2.21184e+07,-67.3752
2.21808e+07,-67.4027
2.22431e+07,-67.3921
2.23055e+07,-67.4179
2.23679e+07,-67.3571
2.24302e+07,-67.4075
2.24926e+07,-67.3492
2.2555e+07,-67.3831
2.26174e+07,-67.3584
2.26798e+07,-67.383
2.27421e+07,-67.4037
2.28045e+07,-67.3197
2.28669e+07,-67.3346
2.29292e+07,-67.3445
2.29916e+07,-67.3477
2.3054e+07,-67.3228
2.31164e+07,-67.3285
2.31788e+07,-67.3333
2.32411e+07,-67.3454
2.33035e+07,-67.3148
2.33659e+07,-67.3277
2.34282e+07,-67.2919
2.34906e+07,-67.3048
2.3553e+07,-67.3046
2.36154e+07,-67.3075
2.36778e+07,-67.2814
2.37401e+07,-67.2758
2.38025e+07,-67.2432
2.38649e+07,-67.2583
2.39272e+07,-67.2059
2.39896e+07,-67.2383
2.4052e+07,-67.2602
2.41144e+07,-67.2279
2.41768e+07,-67.1629
