Hz,Rfb reduced 1.2k,Rfb reduced 1.2k bis,all grounded,braid grounded 1 side,braid grounded 1 side bis,braid grounded 1 side ter,braid grounded 1 side ext. Power supply,Rfb back to 3k
36325,2.95E-07,4.68E-07,8.26E-08,9.92E-08,1.01E-07,8.56E-08,8.31E-07,1.21E-07
36331.25,5.14E-07,4.53E-07,1.07E-07,1.26E-07,1.36E-07,1.27E-07,4.29E-07,1.02E-07
36375,6.75E-07,4.08E-07,1.56E-07,1.00E-07,1.30E-07,1.05E-07,7.64E-07,1.02E-07
36400,5.04E-07,4.96E-07,8.57E-08,1.08E-07,1.09E-07,1.29E-07,8.54E-07,1.22E-07
36418.75,3.71E-07,3.65E-07,1.70E-07,8.42E-08,1.22E-07,1.19E-07,6.57E-07,1.28E-07
36462.5,2.32E-07,5.60E-07,1.25E-07,9.79E-08,9.83E-08,1.53E-07,8.58E-07,1.28E-07
36475,3.59E-07,4.80E-07,1.87E-07,8.31E-08,9.76E-08,1.33E-07,4.92E-07,1.28E-07
36506.25,2.33E-07,3.87E-07,1.58E-07,1.13E-07,8.80E-08,1.16E-07,3.62E-07,1.20E-07
36550,3.74E-07,3.82E-07,8.39E-08,8.84E-08,1.02E-07,9.98E-08,4.71E-07,1.24E-07
36550,4.00E-07,4.71E-07,1.02E-07,1.26E-07,8.92E-08,1.23E-07,5.29E-07,1.66E-07
36593.75,5.28E-07,4.49E-07,8.75E-08,1.33E-07,8.05E-08,1.09E-07,4.57E-07,1.30E-07
36625,5.28E-07,5.70E-07,1.31E-07,1.52E-07,1.14E-07,1.24E-07,7.57E-07,8.95E-08
36637.5,5.75E-07,6.42E-07,1.28E-07,1.34E-07,1.16E-07,1.05E-07,4.45E-07,1.05E-07
36681.25,5.47E-07,3.23E-07,1.23E-07,1.17E-07,1.37E-07,1.57E-07,3.84E-07,7.16E-08
36700,3.95E-07,3.73E-07,9.85E-08,1.29E-07,9.19E-08,1.04E-07,3.56E-07,1.11E-07
36725,3.60E-07,5.29E-07,9.55E-08,7.49E-08,7.68E-08,1.21E-07,3.66E-07,8.78E-08
36768.75,5.39E-07,5.23E-07,1.37E-07,9.54E-08,1.14E-07,1.35E-07,4.44E-07,1.20E-07
36775,5.58E-07,3.69E-07,1.28E-07,1.16E-07,1.20E-07,1.05E-07,3.98E-07,1.54E-07
36812.5,5.17E-07,2.62E-07,9.02E-08,1.13E-07,1.21E-07,8.04E-08,3.39E-07,2.11E-07
36850,6.19E-07,3.95E-07,1.80E-07,1.74E-07,1.26E-07,1.11E-07,3.50E-07,1.13E-07
36856.25,4.29E-07,4.29E-07,1.21E-07,9.34E-08,1.18E-07,7.21E-08,3.46E-07,1.33E-07
36900,3.25E-07,3.92E-07,8.48E-08,6.76E-08,9.79E-08,9.25E-08,3.17E-07,1.08E-07
36925,5.85E-07,3.89E-07,1.08E-07,9.44E-08,1.35E-07,1.25E-07,2.87E-07,6.60E-08
36943.75,5.74E-07,6.36E-07,1.44E-07,1.66E-07,8.83E-08,1.17E-07,5.49E-07,1.27E-07
36987.5,3.78E-07,3.98E-07,1.24E-07,8.28E-08,8.77E-08,1.72E-07,4.21E-07,1.69E-07
37000,4.14E-07,5.15E-07,1.40E-07,8.83E-08,8.96E-08,1.85E-07,1.87E-07,1.72E-07
37031.25,4.45E-07,4.81E-07,1.30E-07,1.22E-07,7.53E-08,8.37E-08,3.62E-07,1.30E-07
37075,3.58E-07,3.53E-07,9.52E-08,8.98E-08,1.18E-07,9.43E-08,3.81E-07,1.09E-07
37075,3.82E-07,5.70E-07,8.51E-08,1.51E-07,1.20E-07,1.41E-07,3.46E-07,1.14E-07
37118.75,2.91E-07,4.49E-07,1.26E-07,7.38E-08,1.34E-07,1.37E-07,4.94E-07,1.33E-07
37150,5.11E-07,6.45E-07,8.79E-08,1.34E-07,1.05E-07,1.36E-07,3.57E-07,7.11E-08
37162.5,6.00E-07,6.41E-07,1.29E-07,5.03E-08,1.71E-07,1.13E-07,7.38E-07,8.05E-08
37206.25,4.22E-07,6.28E-07,1.98E-07,1.07E-07,9.26E-08,9.56E-08,4.59E-07,1.15E-07
37225,4.96E-07,5.79E-07,1.15E-07,1.09E-07,9.77E-08,1.24E-07,3.72E-07,1.14E-07
37250,4.92E-07,3.73E-07,9.72E-08,9.98E-08,1.14E-07,1.09E-07,4.41E-07,1.05E-07
37293.75,5.34E-07,5.53E-07,8.77E-08,1.25E-07,9.85E-08,9.93E-08,6.23E-07,1.04E-07
37300,4.54E-07,6.41E-07,1.38E-07,7.25E-08,1.03E-07,9.57E-08,5.54E-07,8.08E-08
37337.5,4.73E-07,3.46E-07,1.07E-07,1.26E-07,8.44E-08,9.76E-08,2.80E-07,8.37E-08
37375,4.65E-07,7.62E-07,1.06E-07,1.38E-07,9.20E-08,1.18E-07,4.63E-07,1.44E-07
37381.25,3.76E-07,4.22E-07,1.71E-07,9.71E-08,8.98E-08,1.04E-07,3.72E-07,1.06E-07
37425,3.96E-07,5.64E-07,1.35E-07,1.40E-07,9.99E-08,1.35E-07,5.33E-07,1.66E-07
37450,2.41E-07,7.11E-07,1.41E-07,1.04E-07,7.27E-08,1.28E-07,5.19E-07,1.40E-07
37468.75,5.07E-07,5.90E-07,1.43E-07,1.33E-07,7.81E-08,8.92E-08,6.28E-07,1.23E-07
37512.5,3.25E-07,4.33E-07,1.38E-07,1.39E-07,1.19E-07,1.20E-07,4.87E-07,1.09E-07
37525,6.03E-07,6.76E-07,1.19E-07,1.06E-07,1.04E-07,9.30E-08,2.83E-07,1.13E-07
37556.25,6.02E-07,5.84E-07,1.30E-07,1.05E-07,1.10E-07,9.48E-08,2.79E-07,1.00E-07
37600,4.78E-07,4.31E-07,1.17E-07,9.25E-08,1.59E-07,9.75E-08,4.68E-07,1.12E-07
37600,4.48E-07,5.67E-07,1.63E-07,8.54E-08,6.97E-08,1.27E-07,3.47E-07,1.08E-07
37643.75,5.57E-07,5.58E-07,5.25E-08,1.08E-07,8.81E-08,5.26E-08,3.75E-07,1.07E-07
37675,3.54E-07,5.67E-07,1.46E-07,1.15E-07,1.40E-07,1.68E-07,4.62E-07,1.07E-07
37687.5,6.89E-07,4.11E-07,1.05E-07,1.08E-07,6.22E-08,1.23E-07,2.95E-07,1.28E-07
37731.25,4.08E-07,5.10E-07,1.15E-07,1.34E-07,1.02E-07,1.62E-07,2.59E-07,1.28E-07
37750,5.43E-07,4.39E-07,8.46E-08,1.07E-07,1.19E-07,1.45E-07,4.83E-07,1.08E-07
37775,4.85E-07,5.54E-07,1.42E-07,1.22E-07,1.31E-07,9.39E-08,2.87E-07,1.25E-07
37818.75,5.43E-07,4.81E-07,7.54E-08,1.15E-07,8.72E-08,1.04E-07,3.14E-07,1.14E-07
37825,5.86E-07,5.28E-07,1.44E-07,6.18E-08,1.09E-07,1.04E-07,5.13E-07,6.67E-08
37862.5,3.64E-07,4.28E-07,1.70E-07,1.03E-07,9.79E-08,1.14E-07,4.35E-07,8.48E-08
37900,3.67E-07,4.66E-07,1.61E-07,1.15E-07,9.31E-08,1.10E-07,3.04E-07,1.16E-07
37906.25,5.41E-07,4.21E-07,1.30E-07,1.11E-07,1.18E-07,1.30E-07,2.85E-07,1.14E-07
37950,4.40E-07,4.59E-07,1.28E-07,1.28E-07,7.08E-08,1.26E-07,3.57E-07,8.74E-08
37975,6.62E-07,5.48E-07,1.04E-07,1.43E-07,9.95E-08,1.09E-07,3.76E-07,6.58E-08
37993.75,4.12E-07,3.29E-07,1.16E-07,1.09E-07,6.12E-08,9.12E-08,3.53E-07,1.08E-07
38037.5,5.01E-07,6.96E-07,1.30E-07,7.17E-08,1.14E-07,7.19E-08,7.23E-07,1.29E-07
38050,5.61E-07,4.30E-07,1.30E-07,1.32E-07,1.25E-07,7.14E-08,8.37E-07,1.58E-07
38081.25,4.51E-07,4.47E-07,1.23E-07,9.44E-08,8.53E-08,7.49E-08,1.16E-06,1.64E-07
38125,4.97E-07,4.78E-07,1.21E-07,1.24E-07,9.47E-08,1.17E-07,4.05E-07,1.39E-07
38125,4.24E-07,6.56E-07,1.21E-07,9.77E-08,1.13E-07,1.19E-07,1.03E-06,1.72E-07
38168.75,4.44E-07,4.85E-07,8.04E-08,1.14E-07,8.95E-08,1.32E-07,6.53E-07,9.14E-08
38200,5.55E-07,4.94E-07,1.21E-07,9.50E-08,8.72E-08,9.90E-08,5.78E-07,1.33E-07
38212.5,4.64E-07,4.40E-07,1.43E-07,3.99E-08,1.06E-07,1.05E-07,4.66E-07,1.06E-07
38256.25,3.14E-07,4.10E-07,1.50E-07,1.28E-07,1.43E-07,8.64E-08,6.15E-07,1.30E-07
38275,5.25E-07,5.48E-07,9.94E-08,9.18E-08,1.16E-07,1.32E-07,7.96E-07,1.12E-07
38300,3.11E-07,5.08E-07,1.71E-07,9.89E-08,7.84E-08,1.18E-07,4.05E-07,1.11E-07
38343.75,4.62E-07,5.53E-07,1.20E-07,1.18E-07,9.88E-08,9.19E-08,3.68E-07,1.01E-07
38350,6.05E-07,4.16E-07,1.20E-07,8.00E-08,9.99E-08,1.25E-07,5.94E-07,7.14E-08
38387.5,4.89E-07,5.97E-07,1.89E-07,8.91E-08,9.85E-08,1.23E-07,5.65E-07,1.02E-07
38425,6.35E-07,4.99E-07,5.88E-08,1.20E-07,5.78E-08,1.02E-07,4.61E-07,1.37E-07
38431.25,4.76E-07,5.51E-07,1.66E-07,1.01E-07,1.13E-07,1.06E-07,5.68E-07,9.62E-08
38475,5.81E-07,4.77E-07,1.01E-07,1.39E-07,1.34E-07,7.95E-08,7.83E-07,1.16E-07
38500,6.43E-07,4.37E-07,1.18E-07,1.39E-07,1.24E-07,9.17E-08,4.15E-07,1.47E-07
38518.75,4.46E-07,5.61E-07,1.08E-07,7.07E-08,7.98E-08,7.25E-08,4.22E-07,1.41E-07
38562.5,5.23E-07,4.48E-07,1.55E-07,1.28E-07,1.00E-07,1.69E-07,3.75E-07,8.05E-08
38575,3.93E-07,3.82E-07,7.74E-08,8.21E-08,1.12E-07,9.91E-08,4.47E-07,1.38E-07
38606.25,3.54E-07,6.57E-07,8.77E-08,1.53E-07,1.18E-07,1.28E-07,4.35E-07,9.53E-08
38650,4.86E-07,6.22E-07,1.60E-07,1.24E-07,7.77E-08,1.17E-07,5.33E-07,9.53E-08
38650,6.64E-07,4.70E-07,9.30E-08,1.14E-07,1.07E-07,9.00E-08,4.85E-07,1.34E-07
38693.75,6.00E-07,6.58E-07,1.26E-07,1.33E-07,1.03E-07,8.50E-08,5.63E-07,9.25E-08
38725,4.39E-07,5.28E-07,9.94E-08,1.25E-07,1.04E-07,1.68E-07,4.31E-07,1.42E-07
38737.5,3.21E-07,4.14E-07,1.05E-07,9.76E-08,5.81E-08,9.49E-08,4.70E-07,8.82E-08
38781.25,4.54E-07,4.62E-07,1.10E-07,1.01E-07,6.81E-08,9.84E-08,3.63E-07,1.11E-07
38800,6.04E-07,5.65E-07,1.38E-07,9.02E-08,1.03E-07,1.04E-07,4.72E-07,7.68E-08
38825,6.15E-07,5.80E-07,7.67E-08,9.01E-08,1.00E-07,9.83E-08,4.34E-07,1.02E-07
38868.75,6.03E-07,6.08E-07,1.19E-07,7.14E-08,6.58E-08,1.23E-07,5.03E-07,1.02E-07
38875,5.42E-07,3.51E-07,1.71E-07,9.18E-08,8.98E-08,1.35E-07,4.80E-07,8.86E-08
38912.5,5.51E-07,4.80E-07,1.16E-07,9.58E-08,8.31E-08,1.57E-07,4.17E-07,9.19E-08
38950,4.71E-07,4.92E-07,1.20E-07,1.22E-07,9.35E-08,1.22E-07,3.57E-07,1.37E-07
38956.25,7.24E-07,6.68E-07,1.64E-07,8.99E-08,1.04E-07,1.01E-07,5.41E-07,1.02E-07
39000,5.18E-07,3.48E-07,1.64E-07,1.11E-07,1.13E-07,9.35E-08,6.01E-07,1.65E-07
39025,5.50E-07,5.91E-07,1.52E-07,1.04E-07,1.24E-07,1.19E-07,3.98E-07,9.02E-08
39043.75,6.84E-07,4.90E-07,9.97E-08,1.14E-07,1.64E-07,1.08E-07,4.03E-07,1.36E-07
39087.5,3.94E-07,5.70E-07,1.29E-07,7.37E-08,9.50E-08,9.74E-08,4.08E-07,1.12E-07
39100,5.78E-07,5.00E-07,8.29E-08,7.96E-08,7.37E-08,1.01E-07,3.78E-07,1.37E-07
39131.25,8.76E-07,5.42E-07,1.23E-07,1.06E-07,6.76E-08,1.34E-07,3.56E-07,9.62E-08
39175,4.44E-07,5.41E-07,1.24E-07,1.36E-07,1.26E-07,1.09E-07,3.57E-07,1.13E-07
39175,4.92E-07,3.71E-07,7.85E-08,1.11E-07,1.06E-07,9.67E-08,2.38E-07,9.85E-08
39218.75,4.11E-07,4.70E-07,5.24E-08,1.16E-07,1.28E-07,1.58E-07,3.57E-07,1.01E-07
39250,3.93E-07,5.18E-07,8.11E-08,9.52E-08,1.34E-07,1.69E-07,3.76E-07,1.35E-07
39262.5,4.41E-07,5.54E-07,1.36E-07,9.79E-08,1.87E-07,8.52E-08,5.07E-07,1.61E-07
39306.25,4.66E-07,5.13E-07,1.09E-07,9.13E-08,1.08E-07,1.32E-07,5.20E-07,1.35E-07
39325,5.80E-07,4.72E-07,1.20E-07,8.71E-08,5.46E-08,1.41E-07,5.33E-07,1.63E-07
39350,5.20E-07,3.59E-07,1.09E-07,1.48E-07,1.10E-07,1.14E-07,4.44E-07,9.78E-08
39393.75,7.48E-07,3.92E-07,1.48E-07,1.44E-07,1.14E-07,1.06E-07,4.75E-07,1.22E-07
39400,4.63E-07,6.24E-07,1.21E-07,1.39E-07,1.26E-07,6.29E-08,4.63E-07,1.12E-07
39437.5,5.75E-07,6.08E-07,1.17E-07,8.71E-08,1.37E-07,7.41E-08,6.35E-07,1.47E-07
39475,3.86E-07,5.54E-07,1.15E-07,7.31E-08,1.38E-07,1.00E-07,4.92E-07,1.06E-07
39481.25,6.66E-07,6.29E-07,1.25E-07,1.03E-07,1.01E-07,1.06E-07,4.34E-07,1.47E-07
39525,5.41E-07,5.38E-07,1.21E-07,1.27E-07,8.06E-08,1.12E-07,4.92E-07,1.32E-07
39550,4.67E-07,6.70E-07,1.66E-07,1.12E-07,8.13E-08,1.27E-07,5.39E-07,1.30E-07
39568.75,6.12E-07,4.66E-07,9.73E-08,7.33E-08,1.07E-07,6.51E-08,5.87E-07,1.23E-07
39612.5,6.49E-07,5.54E-07,8.71E-08,1.31E-07,9.83E-08,1.18E-07,3.72E-07,1.64E-07
39625,5.63E-07,7.03E-07,6.78E-08,7.34E-08,1.00E-07,1.11E-07,4.19E-07,7.12E-08
39656.25,4.83E-07,6.34E-07,9.42E-08,1.30E-07,9.85E-08,1.28E-07,4.97E-07,1.35E-07
39700,5.26E-07,5.77E-07,1.02E-07,1.36E-07,1.13E-07,1.41E-07,5.29E-07,1.20E-07
39700,4.28E-07,2.99E-07,1.38E-07,7.02E-08,1.11E-07,1.05E-07,4.36E-07,1.43E-07
39743.75,5.77E-07,4.81E-07,9.24E-08,1.47E-07,7.76E-08,8.77E-08,4.00E-07,1.02E-07
39775,2.79E-07,4.32E-07,8.57E-08,7.96E-08,9.87E-08,1.63E-07,4.47E-07,1.45E-07
39787.5,3.88E-07,5.29E-07,1.73E-07,1.34E-07,1.24E-07,1.42E-07,5.44E-07,1.02E-07
39831.25,5.64E-07,5.16E-07,1.77E-07,9.05E-08,9.05E-08,1.06E-07,5.81E-07,1.39E-07
39850,3.52E-07,3.92E-07,1.38E-07,1.16E-07,1.58E-07,1.14E-07,5.18E-07,1.04E-07
39875,6.07E-07,4.70E-07,1.52E-07,1.25E-07,1.13E-07,1.18E-07,5.79E-07,8.68E-08
39918.75,3.44E-07,5.52E-07,1.23E-07,1.36E-07,8.86E-08,9.44E-08,4.16E-07,1.36E-07
39925,4.80E-07,5.38E-07,1.18E-07,1.13E-07,1.06E-07,1.27E-07,6.09E-07,8.93E-08
39962.5,5.13E-07,4.45E-07,1.14E-07,1.21E-07,1.08E-07,1.33E-07,5.50E-07,1.19E-07
40000,4.77E-07,5.18E-07,1.22E-07,7.66E-08,7.38E-08,8.99E-08,4.49E-07,1.16E-07
40006.25,5.11E-07,4.23E-07,9.93E-08,1.07E-07,1.55E-07,1.01E-07,4.15E-07,1.28E-07
40050,3.89E-07,6.73E-07,1.32E-07,9.03E-08,6.29E-08,8.32E-08,4.05E-07,9.04E-08
40075,3.68E-07,5.89E-07,1.32E-07,1.00E-07,1.16E-07,9.38E-08,4.25E-07,1.09E-07
40093.75,6.59E-07,5.57E-07,1.12E-07,1.16E-07,1.01E-07,1.44E-07,4.18E-07,1.34E-07
40137.5,5.50E-07,4.01E-07,1.31E-07,5.31E-08,1.00E-07,9.45E-08,7.92E-07,1.54E-07
40150,4.47E-07,3.84E-07,1.71E-07,1.43E-07,7.90E-08,1.15E-07,3.29E-07,8.11E-08
40181.25,5.74E-07,3.44E-07,1.73E-07,1.09E-07,1.24E-07,7.57E-08,4.98E-07,9.87E-08
40225,4.53E-07,6.55E-07,1.24E-07,1.25E-07,8.89E-08,5.73E-08,5.39E-07,9.38E-08
40225,4.92E-07,4.20E-07,1.43E-07,7.52E-08,1.11E-07,1.12E-07,6.04E-07,1.26E-07
40268.75,3.50E-07,6.86E-07,1.27E-07,9.74E-08,8.58E-08,9.92E-08,4.14E-07,1.38E-07
40300,4.67E-07,4.45E-07,7.89E-08,8.85E-08,8.09E-08,8.91E-08,6.41E-07,1.07E-07
40312.5,5.98E-07,7.21E-07,1.04E-07,8.67E-08,8.54E-08,1.60E-07,6.38E-07,1.65E-07
40356.25,6.18E-07,2.78E-07,1.15E-07,9.31E-08,1.22E-07,1.31E-07,4.56E-07,9.70E-08
40375,4.02E-07,5.22E-07,1.32E-07,1.10E-07,1.29E-07,1.11E-07,5.16E-07,1.34E-07
40400,5.64E-07,5.64E-07,1.32E-07,1.10E-07,6.90E-08,1.21E-07,3.83E-07,9.57E-08
40443.75,7.07E-07,4.88E-07,1.21E-07,8.16E-08,1.33E-07,8.83E-08,6.72E-07,1.12E-07
40450,6.16E-07,5.87E-07,1.03E-07,6.99E-08,1.16E-07,8.26E-08,7.23E-07,9.05E-08
40487.5,4.65E-07,2.70E-07,7.69E-08,1.28E-07,1.16E-07,1.28E-07,3.71E-07,1.12E-07
40525,4.92E-07,5.02E-07,1.17E-07,1.54E-07,8.68E-08,1.08E-07,6.27E-07,1.21E-07
40531.25,6.59E-07,5.49E-07,8.07E-08,1.12E-07,1.20E-07,1.23E-07,5.77E-07,1.15E-07
40575,6.32E-07,4.69E-07,1.42E-07,1.45E-07,8.79E-08,1.18E-07,2.54E-07,1.43E-07
40600,3.90E-07,3.99E-07,1.20E-07,1.11E-07,8.61E-08,1.47E-07,6.01E-07,1.10E-07
40618.75,3.76E-07,5.77E-07,1.56E-07,1.44E-07,9.88E-08,7.37E-08,4.97E-07,9.84E-08
40662.5,7.10E-07,3.06E-07,9.56E-08,1.43E-07,1.55E-07,7.41E-08,4.40E-07,1.10E-07
40675,6.49E-07,5.25E-07,1.40E-07,1.10E-07,1.08E-07,1.16E-07,3.64E-07,1.22E-07
40706.25,6.91E-07,4.56E-07,9.75E-08,1.57E-07,1.13E-07,9.37E-08,5.63E-07,1.10E-07
40750,4.23E-07,4.94E-07,1.19E-07,1.04E-07,8.95E-08,9.47E-08,3.72E-07,8.46E-08
40750,4.92E-07,4.60E-07,1.15E-07,1.02E-07,9.86E-08,1.42E-07,6.22E-07,1.55E-07
40793.75,4.53E-07,5.17E-07,1.33E-07,8.20E-08,1.11E-07,8.55E-08,4.65E-07,1.48E-07
40825,6.34E-07,4.92E-07,1.12E-07,7.82E-08,8.30E-08,1.25E-07,7.46E-07,8.43E-08
40837.5,3.77E-07,4.42E-07,1.63E-07,8.59E-08,1.15E-07,8.08E-08,7.63E-07,1.44E-07
40881.25,4.54E-07,3.34E-07,1.07E-07,9.88E-08,1.11E-07,1.08E-07,3.34E-07,1.34E-07
40900,4.88E-07,5.91E-07,1.64E-07,9.62E-08,1.10E-07,1.51E-07,8.08E-07,7.04E-08
40925,5.11E-07,4.70E-07,1.61E-07,1.02E-07,9.12E-08,8.04E-08,7.16E-07,1.09E-07
40968.75,4.72E-07,3.37E-07,1.16E-07,8.00E-08,1.08E-07,8.22E-08,6.00E-07,1.66E-07
40975,5.48E-07,4.82E-07,9.84E-08,1.09E-07,1.42E-07,1.06E-07,4.60E-07,7.51E-08
41012.5,3.67E-07,3.15E-07,1.65E-07,8.29E-08,1.14E-07,7.49E-08,5.90E-07,1.28E-07
41050,6.15E-07,6.13E-07,1.12E-07,1.16E-07,1.22E-07,1.27E-07,6.80E-07,9.87E-08
41056.25,5.31E-07,5.50E-07,1.74E-07,1.25E-07,1.48E-07,1.06E-07,6.02E-07,1.21E-07
41100,4.16E-07,3.73E-07,1.08E-07,9.74E-08,1.23E-07,3.74E-08,7.13E-07,9.70E-08
41125,6.39E-07,5.40E-07,1.15E-07,9.59E-08,5.96E-08,1.07E-07,5.69E-07,1.47E-07
41143.75,3.66E-07,4.64E-07,1.60E-07,9.16E-08,3.60E-08,1.26E-07,6.94E-07,1.30E-07
41187.5,4.89E-07,4.22E-07,1.23E-07,1.06E-07,8.89E-08,6.19E-08,6.68E-07,1.28E-07
41200,5.85E-07,4.08E-07,1.49E-07,1.04E-07,7.86E-08,8.29E-08,5.58E-07,1.04E-07
41231.25,4.89E-07,4.70E-07,8.92E-08,1.06E-07,1.27E-07,1.57E-07,5.19E-07,1.47E-07
41275,4.16E-07,3.87E-07,9.65E-08,1.11E-07,5.27E-08,7.15E-08,3.33E-07,1.59E-07
41275,4.59E-07,3.64E-07,1.25E-07,1.40E-07,8.66E-08,1.25E-07,5.69E-07,1.36E-07
41318.75,6.37E-07,3.29E-07,1.20E-07,1.04E-07,1.29E-07,1.14E-07,6.87E-07,1.39E-07
41350,4.50E-07,3.56E-07,1.56E-07,8.89E-08,1.21E-07,1.46E-07,6.70E-07,1.53E-07
41362.5,4.69E-07,5.67E-07,1.23E-07,1.06E-07,7.64E-08,1.21E-07,5.23E-07,9.50E-08
41406.25,4.93E-07,3.79E-07,1.02E-07,8.44E-08,1.18E-07,8.62E-08,6.97E-07,1.33E-07
41425,3.49E-07,4.36E-07,1.19E-07,9.43E-08,1.12E-07,8.78E-08,8.17E-07,1.36E-07
41450,4.80E-07,2.62E-07,1.10E-07,1.27E-07,9.12E-08,9.74E-08,8.05E-07,1.29E-07
41493.75,3.46E-07,5.88E-07,1.10E-07,1.07E-07,1.71E-07,1.28E-07,5.98E-07,1.85E-07
41500,5.37E-07,4.74E-07,1.80E-07,1.04E-07,1.18E-07,9.27E-08,6.61E-07,1.06E-07
41537.5,5.24E-07,5.15E-07,8.99E-08,1.03E-07,1.16E-07,1.23E-07,7.21E-07,1.01E-07
41575,4.61E-07,5.36E-07,1.05E-07,1.11E-07,1.02E-07,9.75E-08,6.60E-07,8.74E-08
41581.25,4.30E-07,5.75E-07,1.69E-07,1.32E-07,9.86E-08,1.03E-07,6.02E-07,1.67E-07
41625,5.13E-07,6.26E-07,1.42E-07,1.09E-07,9.28E-08,1.10E-07,6.20E-07,1.19E-07
41650,4.50E-07,4.69E-07,1.48E-07,4.99E-08,8.87E-08,8.27E-08,6.63E-07,1.43E-07
41668.75,5.19E-07,5.59E-07,1.07E-07,1.38E-07,9.53E-08,7.29E-08,6.35E-07,1.02E-07
41712.5,4.28E-07,6.79E-07,1.26E-07,5.13E-08,8.43E-08,7.08E-08,6.50E-07,1.52E-07
41725,5.58E-07,7.47E-07,1.46E-07,7.95E-08,8.54E-08,1.12E-07,5.94E-07,1.08E-07
41756.25,7.98E-07,6.30E-07,7.91E-08,9.05E-08,1.06E-07,1.24E-07,7.17E-07,1.27E-07
41800,5.26E-07,4.69E-07,1.36E-07,1.11E-07,1.57E-07,8.42E-08,1.02E-06,1.34E-07
41800,4.09E-07,6.70E-07,1.12E-07,1.00E-07,1.26E-07,1.55E-07,7.86E-07,1.32E-07
41843.75,4.18E-07,4.83E-07,1.12E-07,1.08E-07,5.59E-08,1.21E-07,8.93E-07,1.35E-07
41875,4.25E-07,4.98E-07,1.16E-07,1.41E-07,8.19E-08,9.18E-08,9.68E-07,6.35E-08
41887.5,8.00E-07,3.63E-07,6.26E-08,1.37E-07,9.97E-08,1.04E-07,1.15E-06,1.01E-07
41931.25,4.72E-07,4.68E-07,9.19E-08,9.68E-08,1.34E-07,1.11E-07,8.84E-07,1.14E-07
41950,4.67E-07,3.50E-07,1.60E-07,1.13E-07,1.07E-07,5.73E-08,1.15E-06,1.03E-07
41975,5.70E-07,5.51E-07,1.22E-07,1.16E-07,9.62E-08,6.77E-08,1.69E-06,1.20E-07
42018.75,5.02E-07,5.94E-07,8.40E-08,6.96E-08,9.52E-08,1.50E-07,1.31E-06,1.32E-07
42025,6.03E-07,4.42E-07,1.21E-07,1.19E-07,8.91E-08,1.53E-07,3.09E-06,1.29E-07
42062.5,4.61E-07,6.46E-07,1.44E-07,1.14E-07,8.65E-08,1.26E-07,1.33E-06,1.21E-07
42100,3.37E-07,5.31E-07,1.54E-07,1.26E-07,1.18E-07,1.18E-07,8.54E-07,1.38E-07
42106.25,6.01E-07,4.51E-07,1.12E-07,9.43E-08,1.10E-07,1.17E-07,1.25E-06,1.21E-07
42150,5.29E-07,4.78E-07,1.54E-07,1.02E-07,9.42E-08,1.10E-07,1.11E-06,1.06E-07
42175,3.67E-07,3.71E-07,1.44E-07,1.11E-07,1.94E-07,1.13E-07,1.79E-06,1.17E-07
42193.75,5.16E-07,3.58E-07,1.55E-07,1.09E-07,7.01E-08,8.26E-08,4.82E-07,1.23E-07
42237.5,3.88E-07,4.35E-07,1.20E-07,1.04E-07,5.49E-08,1.00E-07,6.79E-07,1.53E-07
42250,6.53E-07,5.08E-07,6.43E-08,1.02E-07,9.90E-08,1.17E-07,6.35E-07,1.51E-07
42281.25,4.44E-07,3.60E-07,1.56E-07,1.07E-07,1.30E-07,1.30E-07,5.52E-07,1.12E-07
42325,4.12E-07,5.13E-07,7.87E-08,8.28E-08,8.41E-08,1.20E-07,4.36E-07,1.14E-07
42325,3.69E-07,5.07E-07,1.41E-07,1.36E-07,8.81E-08,1.15E-07,6.07E-07,8.94E-08
42368.75,5.57E-07,4.92E-07,1.36E-07,1.12E-07,1.20E-07,1.06E-07,7.56E-07,1.13E-07
42400,4.58E-07,5.47E-07,1.84E-07,1.32E-07,1.41E-07,1.08E-07,6.75E-07,1.08E-07
42412.5,5.49E-07,5.66E-07,1.60E-07,1.07E-07,9.70E-08,8.46E-08,7.78E-07,1.26E-07
42456.25,5.55E-07,4.70E-07,1.18E-07,1.08E-07,1.33E-07,1.07E-07,5.61E-07,1.01E-07
42475,5.24E-07,2.65E-07,6.35E-08,7.99E-08,1.47E-07,5.53E-08,7.38E-07,1.52E-07
42500,5.63E-07,4.53E-07,9.88E-08,1.01E-07,1.06E-07,1.19E-07,4.47E-07,9.66E-08
42543.75,5.70E-07,3.39E-07,1.49E-07,8.93E-08,6.42E-08,6.33E-08,4.17E-07,8.65E-08
42550,3.90E-07,6.91E-07,1.11E-07,7.61E-08,9.57E-08,5.40E-08,5.67E-07,9.35E-08
42587.5,6.60E-07,2.83E-07,7.74E-08,9.17E-08,1.10E-07,8.51E-08,6.87E-07,1.13E-07
42625,3.90E-07,5.61E-07,1.23E-07,1.41E-07,1.07E-07,9.98E-08,2.77E-07,1.38E-07
42631.25,4.20E-07,6.24E-07,1.35E-07,1.11E-07,8.61E-08,9.05E-08,4.63E-07,1.02E-07
42675,5.27E-07,6.24E-07,1.17E-07,8.31E-08,7.60E-08,6.36E-08,5.49E-07,1.22E-07
