Hz,V /sqrt(Hz)
27975,1.15E-07
28000,9.92E-08
28018.75,9.29E-08
28062.5,9.67E-08
28075,1.01E-07
28106.25,1.11E-07
28150,1.21E-07
28150,1.04E-07
28193.75,6.94E-08
28225,1.29E-07
28237.5,1.07E-07
28281.25,7.83E-08
28300,1.07E-07
28325,9.91E-08
28368.75,1.09E-07
28375,6.89E-08
28412.5,9.61E-08
28450,9.51E-08
28456.25,1.02E-07
28500,8.47E-08
28525,7.82E-08
28543.75,7.35E-08
28587.5,7.90E-08
28600,1.29E-07
28631.25,9.52E-08
28675,1.22E-07
28675,9.15E-08
28718.75,5.99E-08
28750,9.73E-08
28762.5,8.39E-08
28806.25,1.00E-07
28825,7.17E-08
28850,8.64E-08
28893.75,1.24E-07
28900,6.84E-08
28937.5,9.40E-08
28975,8.11E-08
28981.25,1.15E-07
29025,7.53E-08
29050,6.77E-08
29068.75,1.07E-07
29112.5,1.39E-07
29125,1.21E-07
29156.25,9.37E-08
29200,1.29E-07
29200,1.08E-07
29243.75,1.01E-07
29275,9.78E-08
29287.5,6.80E-08
29331.25,6.64E-08
29350,5.39E-08
29375,9.73E-08
29418.75,9.44E-08
29425,8.14E-08
29462.5,8.33E-08
29500,9.19E-08
29506.25,7.34E-08
29550,9.47E-08
29575,1.31E-07
29593.75,7.15E-08
29637.5,1.02E-07
29650,9.77E-08
29681.25,8.99E-08
29725,8.48E-08
29725,8.27E-08
29768.75,5.95E-08
29800,9.33E-08
29812.5,8.02E-08
29856.25,1.28E-07
29875,1.08E-07
29900,9.34E-08
29943.75,7.41E-08
29950,6.03E-08
29987.5,1.03E-07
30025,9.32E-08
30031.25,1.17E-07
30075,1.15E-07
30100,5.77E-08
30118.75,7.02E-08
30162.5,1.07E-07
30175,6.56E-08
30206.25,6.72E-08
30250,1.12E-07
30250,1.15E-07
30293.75,8.90E-08
30325,8.58E-08
30337.5,9.24E-08
30381.25,7.72E-08
30400,1.14E-07
30425,1.09E-07
30468.75,6.12E-08
30475,9.72E-08
30512.5,9.39E-08
30550,1.07E-07
30556.25,1.36E-07
30600,1.41E-07
30625,8.80E-08
30643.75,9.07E-08
30687.5,8.50E-08
30700,6.50E-08
30731.25,9.21E-08
30775,1.03E-07
30775,8.17E-08
30818.75,9.09E-08
30850,8.41E-08
30862.5,8.90E-08
30906.25,8.74E-08
30925,6.12E-08
30950,1.10E-07
30993.75,7.01E-08
31000,9.30E-08
31037.5,9.50E-08
31075,1.23E-07
31081.25,7.67E-08
31125,7.99E-08
31150,7.21E-08
31168.75,9.09E-08
31212.5,7.71E-08
31225,1.55E-07
31256.25,7.61E-08
31300,7.00E-08
31300,9.96E-08
31343.75,1.15E-07
31375,1.09E-07
31387.5,9.09E-08
31431.25,1.03E-07
31450,7.77E-08
31475,1.19E-07
31518.75,8.81E-08
31525,8.68E-08
31562.5,6.79E-08
31600,8.25E-08
31606.25,9.99E-08
31650,9.62E-08
31675,9.45E-08
31693.75,1.15E-07
31737.5,6.18E-08
31750,6.95E-08
31781.25,7.22E-08
31825,8.32E-08
31825,1.35E-07
31868.75,1.02E-07
31900,1.13E-07
31912.5,8.72E-08
31956.25,5.04E-08
31975,1.43E-07
32000,9.00E-08
32043.75,1.02E-07
32050,8.14E-08
32087.5,7.68E-08
32125,7.10E-08
32131.25,9.26E-08
32175,9.82E-08
32200,1.12E-07
32218.75,5.10E-08
