f,noise
1.48205e+07,-80.37
1.48829e+07,-83.4957
1.49452e+07,-82.1844
1.50076e+07,-81.056
1.507e+07,-82.6326
1.51324e+07,-81.9901
1.51948e+07,-79.7934
1.52571e+07,-82.0007
1.53195e+07,-81.7883
1.53819e+07,-81.3235
1.54442e+07,-81.1483
1.55066e+07,-83.7479
1.5569e+07,-79.2957
1.56314e+07,-81.4097
1.56938e+07,-81.2655
1.57561e+07,-79.2157
1.58185e+07,-81.7601
1.58809e+07,-82.1995
1.59432e+07,-79.6212
1.60056e+07,-81.0675
1.6068e+07,-83.0561
1.61304e+07,-81.6992
1.61928e+07,-81.7101
1.62551e+07,-79.2194
1.63175e+07,-81.183
1.63799e+07,-77.61
1.64422e+07,-80.9039
1.65046e+07,-84.4515
1.6567e+07,-80.7567
1.66294e+07,-81.8688
1.66918e+07,-82.5399
1.67541e+07,-80.0596
1.68165e+07,-80.1357
1.68789e+07,-79.6665
1.69412e+07,-81.1011
1.70036e+07,-81.187
1.7066e+07,-79.8583
1.71284e+07,-78.9128
1.71908e+07,-81.3831
1.72531e+07,-79.3756
1.73155e+07,-79.4815
1.73779e+07,-82.8565
1.74402e+07,-78.1797
1.75026e+07,-81.5484
1.7565e+07,-82.9208
1.76274e+07,-82.3422
1.76898e+07,-82.0724
1.77521e+07,-80.5406
1.78145e+07,-78.3941
1.78769e+07,-82.4021
1.79392e+07,-80.5792
1.80016e+07,-80.2402
1.8064e+07,-79.7004
1.81264e+07,-78.5423
1.81888e+07,-79.7636
1.82511e+07,-80.9918
1.83135e+07,-80.6775
1.83759e+07,-80.1491
1.84382e+07,-81.0006
1.85006e+07,-78.4746
1.8563e+07,-79.8622
1.86254e+07,-81.4583
1.86878e+07,-79.9928
1.87501e+07,-80.86
1.88125e+07,-79.5927
1.88749e+07,-80.3396
1.89372e+07,-80.4384
1.89996e+07,-78.8942
1.9062e+07,-80.8046
1.91244e+07,-79.6259
1.91868e+07,-80.0546
1.92491e+07,-77.8742
1.93115e+07,-80.6574
1.93739e+07,-80.1007
1.94362e+07,-77.3945
1.94986e+07,-78.8976
1.9561e+07,-81.6077
1.96234e+07,-80.593
1.96858e+07,-80.3217
1.97481e+07,-80.8396
1.98105e+07,-80.0102
1.98729e+07,-80.7757
1.99352e+07,-78.1704
1.99976e+07,-79.8013
2.006e+07,-80.7125
2.01224e+07,-80.1524
2.01848e+07,-79.313
2.02471e+07,-79.2515
2.03095e+07,-81.6489
2.03719e+07,-81.0595
2.04342e+07,-79.4454
2.04966e+07,-82.1823
2.0559e+07,-78.1612
2.06214e+07,-79.5438
2.06838e+07,-77.6018
2.07461e+07,-81.1888
2.08085e+07,-80.794
2.08709e+07,-78.8828
2.09332e+07,-79.9593
2.09956e+07,-80.307
2.1058e+07,-81.1229
2.11204e+07,-79.1198
2.11828e+07,-79.6334
2.12451e+07,-78.0451
2.13075e+07,-78.9155
