f,gain
100000,-15.2569
162375,-13.1295
224750,-11.8523
287125,-10.9987
349500,-10.3887
411875,-9.95478
474250,-9.63448
536625,-9.37255
599000,-9.17957
661375,-9.02448
723750,-8.9002
786125,-8.79765
848500,-8.71056
910875,-8.62064
973250,-8.48349
1.03562e+06,-8.3271
1.098e+06,-8.31644
1.16038e+06,-8.3516
1.22275e+06,-8.37595
1.28512e+06,-8.37005
1.3475e+06,-8.35498
1.40988e+06,-8.34455
1.47225e+06,-8.33352
1.53462e+06,-8.32118
1.597e+06,-8.31151
1.65938e+06,-8.29882
1.72175e+06,-8.28832
1.78412e+06,-8.27732
1.8465e+06,-8.26626
1.90888e+06,-8.25608
1.97125e+06,-8.25268
2.03362e+06,-8.25448
2.096e+06,-8.26717
2.15838e+06,-8.29924
2.22075e+06,-8.35606
2.28312e+06,-8.41268
2.3455e+06,-8.44794
2.40788e+06,-8.46358
2.47025e+06,-8.47004
2.53262e+06,-8.46778
2.595e+06,-8.47491
2.65738e+06,-8.46758
2.71975e+06,-8.46504
2.78212e+06,-8.45663
2.8445e+06,-8.45458
2.90688e+06,-8.45805
2.96925e+06,-8.46056
3.03162e+06,-8.46276
3.094e+06,-8.46409
3.15638e+06,-8.46741
3.21875e+06,-8.47199
3.28112e+06,-8.47372
3.3435e+06,-8.4773
3.40588e+06,-8.4823
3.46825e+06,-8.48739
3.53062e+06,-8.49226
3.593e+06,-8.49724
3.65538e+06,-8.50346
3.71775e+06,-8.50982
3.78012e+06,-8.51549
3.8425e+06,-8.52277
3.90488e+06,-8.53017
3.96725e+06,-8.53747
4.02962e+06,-8.54522
4.092e+06,-8.55239
4.15438e+06,-8.56063
4.21675e+06,-8.56847
4.27912e+06,-8.57638
4.3415e+06,-8.58366
4.40388e+06,-8.59226
4.46625e+06,-8.59983
4.52862e+06,-8.60715
4.591e+06,-8.61524
4.65338e+06,-8.62423
4.71575e+06,-8.63267
4.77812e+06,-8.64031
4.8405e+06,-8.64709
4.90288e+06,-8.6557
4.96525e+06,-8.66097
5.02762e+06,-8.67025
5.09e+06,-8.6765
5.15238e+06,-8.68426
5.21475e+06,-8.69006
5.27712e+06,-8.69566
5.3395e+06,-8.70101
5.40188e+06,-8.70871
5.46425e+06,-8.71139
5.52662e+06,-8.7187
5.589e+06,-8.72452
5.65138e+06,-8.72979
