f,loop
1.48829e+07,-69.2886
1.49452e+07,-69.2543
1.50076e+07,-69.2947
1.507e+07,-69.202
1.51324e+07,-69.286
1.51948e+07,-69.2488
1.52571e+07,-69.2906
1.53195e+07,-69.2592
1.53819e+07,-69.3188
1.54442e+07,-69.3152
1.55066e+07,-69.2602
1.5569e+07,-69.2405
1.56314e+07,-69.2107
1.56938e+07,-69.3214
1.57561e+07,-69.1905
1.58185e+07,-69.2775
1.58809e+07,-69.2504
1.59432e+07,-69.2938
1.60056e+07,-69.2784
1.6068e+07,-69.2397
1.61304e+07,-69.2596
1.61928e+07,-69.2501
1.62551e+07,-69.2568
1.63175e+07,-69.262
1.63799e+07,-69.1768
1.64422e+07,-69.1197
1.65046e+07,-69.2046
1.6567e+07,-69.2726
1.66294e+07,-69.2778
1.66918e+07,-69.2026
1.67541e+07,-69.2253
1.68165e+07,-69.2466
1.68789e+07,-69.2841
1.69412e+07,-69.2967
1.70036e+07,-69.2285
1.7066e+07,-69.2162
1.71284e+07,-69.2463
1.71908e+07,-69.25
1.72531e+07,-69.2508
1.73155e+07,-69.2355
1.73779e+07,-69.3157
1.74402e+07,-69.2504
1.75026e+07,-69.3189
1.7565e+07,-69.2271
1.76274e+07,-69.2778
1.76898e+07,-69.2287
1.77521e+07,-69.2427
1.78145e+07,-69.2979
1.78769e+07,-69.2209
1.79392e+07,-69.251
1.80016e+07,-69.1817
1.8064e+07,-69.2556
1.81264e+07,-69.3154
1.81888e+07,-69.1842
1.82511e+07,-69.2068
1.83135e+07,-69.2325
1.83759e+07,-69.2774
1.84382e+07,-69.2356
1.85006e+07,-69.2408
1.8563e+07,-69.2563
1.86254e+07,-69.2689
1.86878e+07,-69.2082
1.87501e+07,-69.2764
1.88125e+07,-69.2479
1.88749e+07,-69.2237
1.89372e+07,-69.2922
1.89996e+07,-69.3152
1.9062e+07,-69.232
1.91244e+07,-69.2711
1.91868e+07,-69.241
1.92491e+07,-69.1936
