f,gain
1.47581e+07,-9.58521
1.48205e+07,-9.59001
1.48829e+07,-9.59656
1.49452e+07,-9.60338
1.50076e+07,-9.61133
1.507e+07,-9.61699
1.51324e+07,-9.62441
1.51948e+07,-9.63107
1.52571e+07,-9.63866
1.53195e+07,-9.64421
1.53819e+07,-9.65345
1.54442e+07,-9.66083
1.55066e+07,-9.66953
1.5569e+07,-9.67737
1.56314e+07,-9.68673
1.56938e+07,-9.69495
1.57561e+07,-9.70289
1.58185e+07,-9.71152
1.58809e+07,-9.71911
1.59432e+07,-9.7291
1.60056e+07,-9.73834
1.6068e+07,-9.74806
1.61304e+07,-9.75724
1.61928e+07,-9.76759
1.62551e+07,-9.77661
1.63175e+07,-9.78678
1.63799e+07,-9.79749
1.64422e+07,-9.8084
1.65046e+07,-9.81802
1.6567e+07,-9.82821
1.66294e+07,-9.84234
1.66918e+07,-9.85168
1.67541e+07,-9.86453
1.68165e+07,-9.87506
1.68789e+07,-9.88944
1.69412e+07,-9.90164
1.70036e+07,-9.91357
1.7066e+07,-9.92684
1.71284e+07,-9.94019
1.71908e+07,-9.95193
1.72531e+07,-9.9684
1.73155e+07,-9.9815
1.73779e+07,-9.99493
1.74402e+07,-10.0098
1.75026e+07,-10.0243
1.7565e+07,-10.0387
1.76274e+07,-10.0538
1.76898e+07,-10.0697
1.77521e+07,-10.0852
1.78145e+07,-10.1003
1.78769e+07,-10.1176
1.79392e+07,-10.134
1.80016e+07,-10.1503
1.8064e+07,-10.1656
1.81264e+07,-10.1836
1.81888e+07,-10.2021
1.82511e+07,-10.2192
1.83135e+07,-10.2378
1.83759e+07,-10.2577
1.84382e+07,-10.2752
1.85006e+07,-10.294
1.8563e+07,-10.3147
1.86254e+07,-10.334
1.86878e+07,-10.3533
1.87501e+07,-10.3734
1.88125e+07,-10.3949
1.88749e+07,-10.4155
1.89372e+07,-10.4374
1.89996e+07,-10.4591
1.9062e+07,-10.4807
1.91244e+07,-10.5027
1.91868e+07,-10.5227
1.92491e+07,-10.548
1.93115e+07,-10.57
1.93739e+07,-10.5918
1.94362e+07,-10.6186
1.94986e+07,-10.6403
1.9561e+07,-10.6649
1.96234e+07,-10.6919
1.96858e+07,-10.7153
1.97481e+07,-10.741
1.98105e+07,-10.7658
1.98729e+07,-10.7915
1.99352e+07,-10.8197
1.99976e+07,-10.8438
2.006e+07,-10.8721
2.01224e+07,-10.8993
2.01848e+07,-10.9246
2.02471e+07,-10.9533
2.03095e+07,-10.9854
2.03719e+07,-11.0115
2.04342e+07,-11.04
2.04966e+07,-11.0703
2.0559e+07,-11.0989
2.06214e+07,-11.1308
2.06838e+07,-11.1619
2.07461e+07,-11.1898
2.08085e+07,-11.224
2.08709e+07,-11.2559
2.09332e+07,-11.2864
2.09956e+07,-11.3185
2.1058e+07,-11.3512
2.11204e+07,-11.3828
2.11828e+07,-11.4151
2.12451e+07,-11.4506
2.13075e+07,-11.48
2.13699e+07,-11.5145
2.14322e+07,-11.5493
2.14946e+07,-11.5844
2.1557e+07,-11.619
2.16194e+07,-11.6544
2.16818e+07,-11.6872
2.17441e+07,-11.7245
2.18065e+07,-11.758
2.18689e+07,-11.7958
2.19312e+07,-11.8342
2.19936e+07,-11.8714
2.2056e+07,-11.9062
2.21184e+07,-11.9442
2.21808e+07,-11.9788
2.22431e+07,-12.0184
2.23055e+07,-12.0563
2.23679e+07,-12.0936
2.24302e+07,-12.1309
2.24926e+07,-12.168
2.2555e+07,-12.2093
2.26174e+07,-12.2483
2.26798e+07,-12.2885
2.27421e+07,-12.328
2.28045e+07,-12.3672
2.28669e+07,-12.4045
2.29292e+07,-12.4465
2.29916e+07,-12.4867
2.3054e+07,-12.5286
2.31164e+07,-12.5689
2.31788e+07,-12.6105
2.32411e+07,-12.6494
2.33035e+07,-12.6933
2.33659e+07,-12.7337
2.34282e+07,-12.7777
2.34906e+07,-12.818
2.3553e+07,-12.8589
2.36154e+07,-12.9021
2.36778e+07,-12.9425
2.37401e+07,-12.986
2.38025e+07,-13.0313
2.38649e+07,-13.0724
2.39272e+07,-13.1145
2.39896e+07,-13.1596
2.4052e+07,-13.2037
2.41144e+07,-13.2481
2.41768e+07,-13.2917
2.42391e+07,-13.3347
2.43015e+07,-13.3768
2.43639e+07,-13.4197
2.44262e+07,-13.4638
2.44886e+07,-13.5102
2.4551e+07,-13.5547
2.46134e+07,-13.5986
2.46758e+07,-13.6431
2.47381e+07,-13.6899
2.48005e+07,-13.7335
2.48629e+07,-13.7789
2.49252e+07,-13.8234
2.49876e+07,-14.0968
2.505e+07,-13.9255
2.51124e+07,-13.9769
2.51748e+07,-14.0256
2.52371e+07,-14.0711
2.52995e+07,-14.1184
2.53619e+07,-14.1619
2.54242e+07,-14.2063
2.54866e+07,-14.2551
2.5549e+07,-14.3006
2.56114e+07,-14.3473
2.56738e+07,-14.3907
2.57361e+07,-14.4363
2.57985e+07,-14.4823
2.58609e+07,-14.5298
2.59232e+07,-14.5777
2.59856e+07,-14.622
2.6048e+07,-14.6668
2.61104e+07,-14.7135
2.61728e+07,-14.7601
2.62351e+07,-14.8056
2.62975e+07,-14.8544
2.63599e+07,-14.8996
2.64222e+07,-14.9441
2.64846e+07,-14.9902
2.6547e+07,-15.0394
