f,noise
1.48205e+07,-84.8927
1.48829e+07,-88.3684
1.49452e+07,-86.2295
1.50076e+07,-86.2243
1.507e+07,-87.0996
1.51324e+07,-87.9629
1.51948e+07,-86.438
1.52571e+07,-86.6584
1.53195e+07,-85.0337
1.53819e+07,-88.3888
1.54442e+07,-86.7757
1.55066e+07,-87.3895
1.5569e+07,-87.7313
1.56314e+07,-86.3592
1.56938e+07,-87.2137
1.57561e+07,-86.4857
1.58185e+07,-87.7452
1.58809e+07,-86.5695
1.59432e+07,-86.0153
1.60056e+07,-87.4317
1.6068e+07,-86.4607
1.61304e+07,-87.218
1.61928e+07,-88.0591
1.62551e+07,-84.323
1.63175e+07,-86.6002
1.63799e+07,-87.9711
1.64422e+07,-86.7045
1.65046e+07,-87.2434
1.6567e+07,-85.2567
1.66294e+07,-86.1675
1.66918e+07,-84.1961
1.67541e+07,-85.5628
1.68165e+07,-86.2462
1.68789e+07,-87.3865
1.69412e+07,-86.8686
1.70036e+07,-87.3609
1.7066e+07,-85.8687
1.71284e+07,-88.0142
1.71908e+07,-86.5805
1.72531e+07,-86.6229
1.73155e+07,-85.1951
1.73779e+07,-86.8218
1.74402e+07,-86.1641
1.75026e+07,-86.7539
1.7565e+07,-87.055
1.76274e+07,-85.5599
1.76898e+07,-86.5234
1.77521e+07,-86.005
1.78145e+07,-87.1538
1.78769e+07,-86.3946
1.79392e+07,-86.5859
1.80016e+07,-87.7838
1.8064e+07,-86.82
1.81264e+07,-87.3708
1.81888e+07,-84.5686
1.82511e+07,-86.8969
1.83135e+07,-85.5871
1.83759e+07,-85.5103
1.84382e+07,-86.6001
1.85006e+07,-87.5822
1.8563e+07,-86.4597
1.86254e+07,-88.1184
1.86878e+07,-85.4498
1.87501e+07,-87.206
1.88125e+07,-88.0146
1.88749e+07,-86.9338
1.89372e+07,-87.8738
1.89996e+07,-86.9924
1.9062e+07,-86.5749
1.91244e+07,-85.3912
1.91868e+07,-86.1092
1.92491e+07,-86.08
1.93115e+07,-86.3016
1.93739e+07,-87.8235
1.94362e+07,-86.6897
1.94986e+07,-87.7218
1.9561e+07,-86.5224
1.96234e+07,-84.1445
1.96858e+07,-87.6279
1.97481e+07,-86.4012
1.98105e+07,-85.7777
1.98729e+07,-86.551
1.99352e+07,-85.6998
1.99976e+07,-87.1903
2.006e+07,-86.0459
2.01224e+07,-85.5735
2.01848e+07,-85.7685
2.02471e+07,-85.9546
2.03095e+07,-87.7057
2.03719e+07,-84.3227
2.04342e+07,-88.1654
2.04966e+07,-87.2738
2.0559e+07,-86.9936
2.06214e+07,-86.5505
2.06838e+07,-86.7268
2.07461e+07,-85.1731
2.08085e+07,-86.5836
2.08709e+07,-86.7411
2.09332e+07,-86.5167
2.09956e+07,-85.1645
2.1058e+07,-85.9324
2.11204e+07,-86.5623
2.11828e+07,-85.3863
2.12451e+07,-85.904
2.13075e+07,-85.9039
2.13699e+07,-85.1787
2.14322e+07,-86.5808
2.14946e+07,-86.1094
2.1557e+07,-85.0079
2.16194e+07,-85.5114
2.16818e+07,-86.725
2.17441e+07,-85.6317
2.18065e+07,-86.377
2.18689e+07,-85.8017
2.19312e+07,-86.9427
2.19936e+07,-85.4154
2.2056e+07,-85.1194
2.21184e+07,-84.6181
2.21808e+07,-87.0241
2.22431e+07,-85.8698
2.23055e+07,-86.632
2.23679e+07,-85.7688
2.24302e+07,-86.1257
2.24926e+07,-87.3988
2.2555e+07,-85.3242
2.26174e+07,-86.6796
2.26798e+07,-83.3456
2.27421e+07,-86.3597
2.28045e+07,-84.8149
2.28669e+07,-85.5997
2.29292e+07,-83.6503
2.29916e+07,-85.5088
2.3054e+07,-84.4764
2.31164e+07,-84.813
2.31788e+07,-85.4285
2.32411e+07,-85.7324
2.33035e+07,-87.0388
2.33659e+07,-86.8673
2.34282e+07,-85.828
2.34906e+07,-86.3149
2.3553e+07,-86.612
2.36154e+07,-85.9395
2.36778e+07,-86.7733
2.37401e+07,-85.8655
2.38025e+07,-84.1316
2.38649e+07,-85.3218
2.39272e+07,-85.6477
2.39896e+07,-84.3566
2.4052e+07,-85.9802
2.41144e+07,-86.932
2.41768e+07,-86.3679
2.42391e+07,-85.9368
2.43015e+07,-85.4069
2.43639e+07,-84.8237
2.44262e+07,-84.7432
2.44886e+07,-86.5816
2.4551e+07,-84.099
2.46134e+07,-86.2835
2.46758e+07,-86.7178
2.47381e+07,-86.3451
2.48005e+07,-87.2314
2.48629e+07,-86.5952
2.49252e+07,-84.3574
2.49876e+07,-85.4364
2.505e+07,-87.4414
2.51124e+07,-86.1436
2.51748e+07,-83.4334
2.52371e+07,-85.7718
2.52995e+07,-86.201
2.53619e+07,-84.2821
2.54242e+07,-85.5713
2.54866e+07,-86.4312
2.5549e+07,-84.9121
2.56114e+07,-84.921
2.56738e+07,-86.2915
2.57361e+07,-86.81
2.57985e+07,-86.2778
2.58609e+07,-87.1763
2.59232e+07,-87.6235
2.59856e+07,-87.6567
2.6048e+07,-87.0079
2.61104e+07,-85.334
2.61728e+07,-86.7124
2.62351e+07,-86.601
2.62975e+07,-83.8239
2.63599e+07,-85.8865
2.64222e+07,-86.2826
2.64846e+07,-85.0904
2.6547e+07,-84.8464
2.66094e+07,-86.1025
2.66718e+07,-85.9623
2.67341e+07,-87.3546
2.67965e+07,-87.3138
