f,noise
100000,-82.4467
162375,-83.6062
224750,-76.9361
287125,-76.7346
349500,-76.6119
411875,-85.2482
474250,-85.2977
536625,-80.3657
599000,-78.228
661375,-71.9946
723750,-71.4985
786125,-71.4827
848500,-72.216
910875,-59.9291
973250,-76.6027
1.03562e+06,-77.2219
1.098e+06,-87.6838
1.16038e+06,-83.595
1.22275e+06,-89.378
1.28512e+06,-83.5941
1.3475e+06,-83.504
1.40988e+06,-80.2844
1.47225e+06,-86.6181
1.53462e+06,-82.8028
1.597e+06,-86.7676
1.65938e+06,-86.2827
1.72175e+06,-82.9259
1.78412e+06,-87.2793
1.8465e+06,-81.3972
1.90888e+06,-83.4259
1.97125e+06,-78.6473
2.03362e+06,-81.0979
2.096e+06,-75.2884
2.15838e+06,-74.5836
2.22075e+06,-73.4089
2.28312e+06,-69.087
2.3455e+06,-65.9993
2.40788e+06,-71.6413
2.47025e+06,-70.5738
2.53262e+06,-70.154
2.595e+06,-72.2503
2.65738e+06,-70.2147
2.71975e+06,-73.7395
2.78212e+06,-73.7878
2.8445e+06,-70.8526
2.90688e+06,-74.0792
2.96925e+06,-73.8409
3.03162e+06,-71.2241
3.094e+06,-76.3409
3.15638e+06,-75.5135
3.21875e+06,-75.8521
3.28112e+06,-81.5813
3.3435e+06,-83.1171
3.40588e+06,-86.7607
3.46825e+06,-84.1274
3.53062e+06,-83.2891
3.593e+06,-84.1751
3.65538e+06,-85.1259
3.71775e+06,-86.133
3.78012e+06,-84.2391
3.8425e+06,-82.7394
3.90488e+06,-86.0722
3.96725e+06,-86.7589
4.02962e+06,-83.7653
4.092e+06,-85.2329
4.15438e+06,-80.6838
4.21675e+06,-83.4928
4.27912e+06,-84.4177
4.3415e+06,-86.031
4.40388e+06,-81.7465
4.46625e+06,-83.6119
4.52862e+06,-83.7945
4.591e+06,-85.3411
4.65338e+06,-82.2337
4.71575e+06,-79.478
4.77812e+06,-82.2849
4.8405e+06,-84.6848
4.90288e+06,-80.966
4.96525e+06,-82.0167
5.02762e+06,-87.1546
5.09e+06,-83.9954
5.15238e+06,-83.0407
5.21475e+06,-82.3878
5.27712e+06,-82.0535
5.3395e+06,-80.5626
5.40188e+06,-83.2255
5.46425e+06,-80.2699
5.52662e+06,-82.3215
5.589e+06,-82.3214
5.65138e+06,-83.2104
5.71375e+06,-80.9081
5.77612e+06,-85.0836
5.8385e+06,-83.8369
5.90088e+06,-80.7759
5.96325e+06,-82.996
6.02562e+06,-84.7325
6.088e+06,-81.6808
6.15038e+06,-81.3488
6.21275e+06,-86.7521
6.27512e+06,-84.8007
6.3375e+06,-82.6504
6.39988e+06,-83.1937
6.46225e+06,-83.486
6.52462e+06,-84.3449
6.587e+06,-86.1042
6.64938e+06,-82.4756
6.71175e+06,-85.0986
6.77412e+06,-84.8512
6.8365e+06,-82.6219
6.89888e+06,-79.7377
6.96125e+06,-84.7297
7.02362e+06,-85.983
7.086e+06,-80.718
7.14838e+06,-84.343
7.21075e+06,-84.8499
7.27312e+06,-84.1961
7.3355e+06,-81.2296
7.39788e+06,-79.9415
7.46025e+06,-83.8785
7.52262e+06,-84.1631
7.585e+06,-83.9406
7.64738e+06,-82.4197
7.70975e+06,-82.9626
7.77212e+06,-84.4402
7.8345e+06,-84.6757
7.89688e+06,-84.259
7.95925e+06,-85.6303
8.02162e+06,-83.7993
8.084e+06,-84.8821
8.14638e+06,-83.646
8.20875e+06,-85.1479
8.27112e+06,-83.1592
8.3335e+06,-85.0937
8.39588e+06,-81.8199
8.45825e+06,-85.6288
8.52062e+06,-85.0395
8.583e+06,-85.9387
8.64538e+06,-83.3465
8.70775e+06,-83.3463
8.77012e+06,-84.7931
8.8325e+06,-84.724
8.89488e+06,-82.2983
8.95725e+06,-82.1692
9.01962e+06,-83.2001
9.082e+06,-82.3629
9.14438e+06,-82.696
